product_image,product_description,product_title,product_metadata
"data/img/image_18.jpg","Trendy summer dress featuring a vibrant floral print, perfect for sunny days.",Vibrant Floral Summer Dress,"summer, floral print, casual, trendy"
"data/img/image_19.jpg","Classic blue denim jeans with a modern twist, offering both comfort and style.",Modern Blue Denim Jeans,"denim, classic, blue, stylish"
"data/img/image_1.jpg","Elegant red evening gown with a sleek silhouette, ideal for glamorous nights.",Elegant Red Evening Gown,"elegant, gown, red, sleek silhouette"
"data/img/image_2.jpg","Casual white t-shirt adorned with a unique graphic design, a must-have for your everyday wardrobe.",Unique Graphic Design T-Shirt,"casual, graphic design, white, t-shirt"
"data/img/image_3.jpg","Stylish leather jacket with edgy detailing, a timeless piece for fashion-forward individuals.",Edgy Stylish Leather Jacket,"stylish, leather, edgy, fashion-forward"
"data/img/image_4.jpg","Comfortable cotton shorts in a range of colors, perfect for a relaxed yet chic look.",Comfortable Cotton Shorts,"comfortable, cotton, colorful, relaxed"
"data/img/image_5.jpg","Formal black blazer with a contemporary cut, ideal for office wear or formal events.",Contemporary Black Blazer,"formal, black, blazer, contemporary cut"
"data/img/image_6.jpg","Sporty track pants with iconic side stripes, blending style with athletic functionality.",Iconic Side Stripe Track Pants,"sporty, track pants, side stripes, functional"
"data/img/image_7.jpg","Chic skirt adorned with playful polka dots, a fun addition to your casual collection.",Playful Polka Dot Skirt,"chic, skirt, polka dots, playful"
"data/img/image_8.jpg","Bohemian style maxi dress with intricate patterns, exuding elegance and free-spirited charm.",Bohemian Maxi Dress,"bohemian, maxi dress, intricate patterns, elegant"
"data/img/image_9.jpg","Slim-fit chinos in a soft beige, offering a versatile option for both casual and formal settings.",Versatile Beige Slim-Fit Chinos,"slim-fit, chinos, beige, versatile"
"data/img/image_10.jpg","Vintage style leather boots, combining rugged durability with classic aesthetics.",Vintage Leather Boots,"vintage, leather boots, rugged, classic"
"data/img/image_11.jpg","Designer handbag crafted in premium leather, a luxurious accessory for the fashion-conscious.",Premium Leather Handbag,"designer, handbag, premium leather, luxurious"
"data/img/image_12.jpg","Funky printed scarf, a statement piece to add a pop of color to any outfit.",Colorful Printed Scarf,"funky, printed scarf, colorful, statement piece"
"data/img/image_13.jpg","Athletic running shoes with cushion support, designed for both performance and style.",Cushioned Athletic Shoes,"athletic, running shoes, cushion support, performance"
"data/img/image_17.jpg","Winter woolen sweater in a deep navy blue, combining warmth with sophisticated elegance.",Cozy Navy Woolen Sweater,"woolen, sweater, navy blue, winter"
"data/img/image_14.jpg","Lightweight rain jacket with a functional hood, an essential for unpredictable weather.",Lightweight Rain Jacket,"lightweight, rain jacket, hood, essential"
"data/img/image_16.jpg","Versatile unisex sunglasses, blending sleek design with optimal sun protection.",Stylish Unisex Sunglasses,"versatile, sunglasses, unisex, sleek design"
"data/img/image_15.jpg","Fashionable denim jacket enhanced with creative patches, a trendy twist on a classic.",Trendy Denim Jacket with Patches,"fashionable, denim jacket, patches, trendy"
"data/img/image_16.jpg","Soft cashmere scarf in pastel hues, adding a touch of luxury to your winter wardrobe.",Luxurious Soft Cashmere Scarf,"soft, cashmere scarf, pastel hues, luxury"
